"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"MAT1A" "Q2KJC6" "MAT1A" "S-adenosylmethionine synthase isoform type-1" "Bos taurus" "9913" "MAT1A" "2" "1"
"P40227" "P40227" "P40227" "T-complex protein 1 subunit zeta" "Homo sapiens" "9606" "CCT6A" "1" "3"
"PSMD2" "P56701" "PSMD2" "26S proteasome non-ATPase regulatory subunit 2" "Bos taurus" "9913" "PSMD2" "1" "2"
"FLOT1" "Q08DN8" "FLOT1" "Flotillin-1" "Bos taurus" "9913" "FLOT1" "2" "1"
"COL11A1" "P12107" "COL11A1" "Collagen alpha-1(XI) chain" "Homo sapiens" "9606" "COL11A1" "1" "4"
"PSMD12" "O00232" "PSMD12" "26S proteasome non-ATPase regulatory subunit 12" "Homo sapiens" "9606" "PSMD12" "1" "3"
"RRAGD" "Q9NQL2" "RRAGD" "Ras-related GTP-binding protein D" "Homo sapiens" "9606" "RRAGD" "1" "1"
"PLBD2" "Q2KIY5" "PLBD2" "Putative phospholipase B-like 2" "Bos taurus" "9913" "PLBD2" "2" "1"
"DNAJC3" "Q27968" "DNAJC3" "DnaJ homolog subfamily C member 3" "Bos taurus" "9913" "DNAJC3" "1" "1"
"PSMD4" "P55036" "PSMD4" "26S proteasome non-ATPase regulatory subunit 4" "Homo sapiens" "9606" "PSMD4" "1" "1"
"TOPAZ1" "G7H7V7" "TOPAZ1" "Protein TOPAZ1" "Bos taurus" "9913" "TOPAZ1" "2" "1"
"ASNS" "P08243" "ASNS" "Asparagine synthetase [glutamine-hydrolyzing]" "Homo sapiens" "9606" "ASNS" "1" "4"
"CLeC11A" "Q9Y240" "CLeC11A" "C-type lectin domain family 11 member A" "Homo sapiens" "9606" "CLeC11A" "1" "1"
"RGPD4" "Q7Z3J3" "RGPD4" "RanBP2-like and GRIP domain-containing protein 4" "Homo sapiens" "9606" "RGPD4" "2" "3"
"TRIM43" "Q96BQ3" "TRIM43" "Tripartite motif-containing protein 43" "Homo sapiens" "9606" "TRIM43" "1" "1"
"VPS35" "Q96QK1" "VPS35" "Vacuolar protein sorting-associated protein 35" "Homo sapiens" "9606" "VPS35" "1" "2"
"Q13200" "Q13200" "Q13200" "26S proteasome non-ATPase regulatory subunit 2" "Homo sapiens" "9606" "PSMD2" "1" "3"
"RPS17" "P08708" "RPS17" "Small ribosomal subunit protein eS17" "Homo sapiens" "9606" "RPS17" "1" "2"
"MYF6" "Q7YS80" "MYF6" "Myogenic factor 6" "Bos taurus" "9913" "MYF6" "2" "1"
"PTN" "Reverse_sp|P21246|PTN_HUMAN" "PTN" "Pleiotrophin" "Homo sapiens" "9606" "PTN" "1" "1"
"ZNF350" "Reverse_sp|Q0VCB0|ZN350_BOVIN" "ZNF350" "Zinc finger protein 350" "Bos taurus" "9913" "ZNF350" "2" "1"
"O43505" "O43505" "O43505" "Beta-1.4-glucuronyltransferase 1" "Homo sapiens" "9606" "B4GAT1" "1" "1"
"IFI16" "Q16666" "IFI16" "Gamma-interferon-inducible protein 16" "Homo sapiens" "9606" "IFI16" "1" "3"
"JAG1" "Reverse_sp|P78504|JAG1_HUMAN" "JAG1" "Protein jagged-1" "Homo sapiens" "9606" "JAG1" "1" "3"
"PLXDC2" "Q6UX71" "PLXDC2" "Plexin domain-containing protein 2" "Homo sapiens" "9606" "PLXDC2" "1" "1"
"GABARAPL2" "P60519" "GABARAPL2" "Gamma-aminobutyric acid receptor-associated protein-like 2" "Bos taurus" "9913" "GABARAPL2" "1" "1"
"P62873" "P62873" "P62873" "Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1" "Bos taurus" "9913" "GNB1" "1" "3"
"O14950" "O14950" "O14950" "Myosin regulatory light chain 12B" "Homo sapiens" "9606" "MYL12B" "1" "2"
"UQCRB" "P14927" "UQCRB" "Cytochrome b-c1 complex subunit 7" "Homo sapiens" "9606" "UQCRB" "1" "2"
"TXNL1" "O43396" "TXNL1" "Thioredoxin-like protein 1" "Homo sapiens" "9606" "TXNL1" "1" "3"
"ZNF540" "Q8NDQ6" "ZNF540" "Zinc finger protein 540" "Homo sapiens" "9606" "ZNF540" "1" "1"
"PGD" "P52209" "PGD" "6-phosphogluconate dehydrogenase. decarboxylating" "Homo sapiens" "9606" "PGD" "1" "3"
"NeB" "Reverse_sp|P20929|NeBU_HUMAN" "NeB" "Nebulin" "Homo sapiens" "9606" "NeB" "1" "5"
"P63009" "P63009" "P63009" "AP-2 complex subunit beta" "Bos taurus" "9913" "AP2B1" "1" "2"
"Q9Y262" "Q9Y262" "Q9Y262" "eukaryotic translation initiation factor 3 subunit L" "Homo sapiens" "9606" "eIF3L" "1" "1"
"YARS1" "Q29465" "YARS1" "Tyrosine--tRNA ligase. cytoplasmic" "Bos taurus" "9913" "YARS1" "2" "4"
"TMeD9" "Q3T133" "TMeD9" "Transmembrane emp24 domain-containing protein 9" "Bos taurus" "9913" "TMeD9" "1" "1"
"PTPRS" "Q13332" "PTPRS" "Receptor-type tyrosine-protein phosphatase S" "Homo sapiens" "9606" "PTPRS" "1" "3"
"VDAC1" "P45879" "VDAC1" "Voltage-dependent anion-selective channel protein 1" "Bos taurus" "9913" "VDAC1" "1" "3"
"MTF1" "Q14872" "MTF1" "Metal regulatory transcription factor 1" "Homo sapiens" "9606" "MTF1" "1" "2"
"PIAS1" "O75925" "PIAS1" "e3 SUMO-protein ligase PIAS1" "Homo sapiens" "9606" "PIAS1" "1" "2"
"U2AF2" "P26368" "U2AF2" "Splicing factor U2AF 65 kDa subunit" "Homo sapiens" "9606" "U2AF2" "1" "4"
"VPS26A" "O75436" "VPS26A" "Vacuolar protein sorting-associated protein 26A" "Homo sapiens" "9606" "VPS26A" "1" "2"
"ABCG2" "Q9UNQ0" "ABCG2" "Broad substrate specificity ATP-binding cassette transporter ABCG2" "Homo sapiens" "9606" "ABCG2" "1" "3"
"O02675" "O02675" "O02675" "Dihydropyrimidinase-related protein 2" "Bos taurus" "9913" "DPYSL2" "1" "1"
"PNMA5" "Reverse_sp|Q96PV4|PNMA5_HUMAN" "PNMA5" "Paraneoplastic antigen-like protein 5" "Homo sapiens" "9606" "PNMA5" "1" "2"
"IGLV10-54" "A0A075B6I4" "IGLV10-54" "Immunoglobulin lambda variable 10-54" "Homo sapiens" "9606" "IGLV10-54" "3" "1"
"ILF2" "Q12905" "ILF2" "Interleukin enhancer-binding factor 2" "Homo sapiens" "9606" "ILF2" "1" "2"
"Q3SYU9" "Q3SYU9" "Q3SYU9" "Major vault protein" "Bos taurus" "9913" "MVP" "2" "1"
"HSPBP1" "Q9NZL4" "HSPBP1" "Hsp70-binding protein 1" "Homo sapiens" "9606" "HSPBP1" "1" "2"
"P67809" "P67809" "P67809" "Y-box-binding protein 1" "Homo sapiens" "9606" "YBX1" "1" "3"
"Q1JPJ2" "Q1JPJ2" "Q1JPJ2" "Xaa-Pro aminopeptidase 1" "Bos taurus" "9913" "XPNPeP1" "2" "1"
"A6H7I5" "A6H7I5" "A6H7I5" "Dynamin-2" "Bos taurus" "9913" "DNM2" "2" "1"
"AKR1C3" "P42330" "AKR1C3" "Aldo-keto reductase family 1 member C3" "Homo sapiens" "9606" "AKR1C3" "1" "4"
"CUeDC2" "Q3ZBN4" "CUeDC2" "CUe domain-containing protein 2" "Bos taurus" "9913" "CUeDC2" "2" "1"
"P17858" "P17858" "P17858" "ATP-dependent 6-phosphofructokinase. liver type" "Homo sapiens" "9606" "PFKL" "1" "6"
"CeRS3" "Q8IU89" "CeRS3" "Ceramide synthase 3" "Homo sapiens" "9606" "CeRS3" "1" "2"
"P14868" "P14868" "P14868" "Aspartate--tRNA ligase. cytoplasmic" "Homo sapiens" "9606" "DARS1" "1" "2"
"Q9XTA2" "Q9XTA2" "Q9XTA2" "Prolyl endopeptidase" "Bos taurus" "9913" "PReP" "2" "1"
"P30740" "P30740" "P30740" "Leukocyte elastase inhibitor" "Homo sapiens" "9606" "SeRPINB1" "1" "1"
"P16070" "P16070" "P16070" "CD44 antigen" "Homo sapiens" "9606" "CD44" "1" "3"
"P48644" "P48644" "P48644" "Aldehyde dehydrogenase 1A1" "Bos taurus" "9913" "ALDH1A1" "1" "3"
"SePTIN9" "Q9UHD8" "SePTIN9" "Septin-9" "Homo sapiens" "9606" "SePTIN9" "1" "2"
"Q0P5A6" "Q0P5A6" "Q0P5A6" "26S proteasome non-ATPase regulatory subunit 5" "Bos taurus" "9913" "PSMD5" "2" "1"
"KRT32" "Q14532" "KRT32" "Keratin. type I cuticular Ha2" "Homo sapiens" "9606" "KRT32" "1" "3"
"POR" "P16435" "POR" "NADPH--cytochrome P450 reductase" "Homo sapiens" "9606" "POR" "1" "2"
"P20618" "P20618" "P20618" "Proteasome subunit beta type-1" "Homo sapiens" "9606" "PSMB1" "1" "2"
"SeTD3" "Q86TU7" "SeTD3" "Actin-histidine N-methyltransferase" "Homo sapiens" "9606" "SeTD3" "1" "1"
"P04424" "P04424" "P04424" "Argininosuccinate lyase" "Homo sapiens" "9606" "ASL" "1" "4"
"AKT1" "P31749" "AKT1" "RAC-alpha serine/threonine-protein kinase" "Homo sapiens" "9606" "AKT1" "1" "2"
"COL21A1" "Q96P44" "COL21A1" "Collagen alpha-1(XXI) chain" "Homo sapiens" "9606" "COL21A1" "2" "1"
"ABHD5" "Q8WTS1" "ABHD5" "1-acylglycerol-3-phosphate O-acyltransferase ABHD5" "Homo sapiens" "9606" "ABHD5" "1" "1"
"MANF" "P55145" "MANF" "Mesencephalic astrocyte-derived neurotrophic factor" "Homo sapiens" "9606" "MANF" "1" "3"
"IGLV3-16" "A0A075B6K0" "IGLV3-16" "Immunoglobulin lambda variable 3-16" "Homo sapiens" "9606" "IGLV3-16" "3" "2"
"CNNM4" "Q6P4Q7" "CNNM4" "Metal transporter CNNM4" "Homo sapiens" "9606" "CNNM4" "1" "3"
"KPNB1" "Q14974" "KPNB1" "Importin subunit beta-1" "Homo sapiens" "9606" "KPNB1" "1" "2"
"ARPC1B" "O15143" "ARPC1B" "Actin-related protein 2/3 complex subunit 1B" "Homo sapiens" "9606" "ARPC1B" "1" "3"
"DPYSL3" "Q14195" "DPYSL3" "Dihydropyrimidinase-related protein 3" "Homo sapiens" "9606" "DPYSL3" "1" "1"
"CYFIP2" "Q96F07" "CYFIP2" "Cytoplasmic FMR1-interacting protein 2" "Homo sapiens" "9606" "CYFIP2" "1" "2"
"Q16851" "Q16851" "Q16851" "UTP--glucose-1-phosphate uridylyltransferase" "Homo sapiens" "9606" "UGP2" "1" "5"
"MMP9" "P14780" "MMP9" "Matrix metalloproteinase-9" "Homo sapiens" "9606" "MMP9" "1" "3"
"SRSF1" "Q0VCY7" "SRSF1" "Serine/arginine-rich splicing factor 1" "Bos taurus" "9913" "SRSF1" "2" "1"
"PITPNA" "Q00169" "PITPNA" "Phosphatidylinositol transfer protein alpha isoform" "Homo sapiens" "9606" "PITPNA" "1" "2"
"Q2TBQ8" "Q2TBQ8" "Q2TBQ8" "6-phosphogluconolactonase" "Bos taurus" "9913" "PGLS" "2" "1"
"LYPD3" "O95274" "LYPD3" "Ly6/PLAUR domain-containing protein 3" "Homo sapiens" "9606" "LYPD3" "1" "2"
"AZU1" "P20160" "AZU1" "Azurocidin" "Homo sapiens" "9606" "AZU1" "1" "3"
"IMPDH2" "Q3SWY3" "IMPDH2" "Inosine-5'-monophosphate dehydrogenase 2" "Bos taurus" "9913" "IMPDH2" "2" "1"
"ePS8L2" "Q9H6S3" "ePS8L2" "epidermal growth factor receptor kinase substrate 8-like protein 2" "Homo sapiens" "9606" "ePS8L2" "1" "2"
"CYRIB" "Q2KJI3" "CYRIB" "CYFIP-related Rac1 interactor B" "Bos taurus" "9913" "CYRIB" "2" "1"
"POFUT2" "Q9Y2G5" "POFUT2" "GDP-fucose protein O-fucosyltransferase 2" "Homo sapiens" "9606" "POFUT2" "1" "3"
"TMeM165" "Q9HC07" "TMeM165" "Transmembrane protein 165" "Homo sapiens" "9606" "TMeM165" "1" "1"
"SLC39A14" "A5D7L5" "SLC39A14" "Metal cation symporter ZIP14" "Bos taurus" "9913" "SLC39A14" "2" "1"
"SeMG2" "Q02383" "SeMG2" "Semenogelin-2" "Homo sapiens" "9606" "SeMG2" "1" "1"
"IPO5" "O00410" "IPO5" "Importin-5" "Homo sapiens" "9606" "IPO5" "1" "4"
"RPL4" "Q58DW0" "RPL4" "Large ribosomal subunit protein uL4" "Bos taurus" "9913" "RPL4" "2" "3"
"SAA1" "P0DJI8" "SAA1" "Serum amyloid A-1 protein" "Homo sapiens" "9606" "SAA1" "1" "1"
"ICAM3" "Q28125" "ICAM3" "Intercellular adhesion molecule 3" "Bos taurus" "9913" "ICAM3" "2" "1"
"DDX5" "P17844" "DDX5" "Probable ATP-dependent RNA helicase DDX5" "Homo sapiens" "9606" "DDX5" "1" "1"
"MARS1" "P56192" "MARS1" "Methionine--tRNA ligase. cytoplasmic" "Homo sapiens" "9606" "MARS1" "1" "2"
"P12882" "P12882" "P12882" "Myosin-1" "Homo sapiens" "9606" "MYH1" "1" "3"
"HSPA4" "P34932" "HSPA4" "Heat shock 70 kDa protein 4" "Homo sapiens" "9606" "HSPA4" "1" "4"
"LMNB1" "P20700" "LMNB1" "Lamin-B1" "Homo sapiens" "9606" "LMNB1" "1" "2"
"S100A7A" "Q86SG5" "S100A7A" "Protein S100-A7A" "Homo sapiens" "9606" "S100A7A" "1" "3"
"RRAGA" "Q7L523" "RRAGA" "Ras-related GTP-binding protein A" "Homo sapiens" "9606" "RRAGA" "1" "1"
"Q13217" "Q13217" "Q13217" "DnaJ homolog subfamily C member 3" "Homo sapiens" "9606" "DNAJC3" "1" "1"
"P61282" "P61282" "P61282" "NeDD8" "Bos taurus" "9913" "NeDD8" "3" "1"
"ABHD14B" "Q96IU4" "ABHD14B" "Putative protein-lysine deacylase ABHD14B" "Homo sapiens" "9606" "ABHD14B" "1" "1"
"NT5C2" "P49902" "NT5C2" "Cytosolic purine 5'-nucleotidase" "Homo sapiens" "9606" "NT5C2" "1" "1"
"CYP4F22" "Q6NT55" "CYP4F22" "Ultra-long-chain fatty acid omega-hydroxylase" "Homo sapiens" "9606" "CYP4F22" "1" "1"
"HSPA7" "P48741" "HSPA7" "Putative heat shock 70 kDa protein 7" "Homo sapiens" "9606" "HSPA7" "5" "2"
"PSMC4" "Q3T030" "PSMC4" "26S proteasome regulatory subunit 6B" "Bos taurus" "9913" "PSMC4" "2" "1"
"RPS5" "Q5e988" "RPS5" "Small ribosomal subunit protein uS7" "Bos taurus" "9913" "RPS5" "2" "3"
"KRTAP2-4" "Q9BYR9" "KRTAP2-4" "Keratin-associated protein 2-4" "Homo sapiens" "9606" "KRTAP2-4" "1" "1"
"PRTN3" "P24158" "PRTN3" "Myeloblastin" "Homo sapiens" "9606" "PRTN3" "1" "3"
"PSMD3" "O43242" "PSMD3" "26S proteasome non-ATPase regulatory subunit 3" "Homo sapiens" "9606" "PSMD3" "1" "2"
"SRSF7" "Q3T106" "SRSF7" "Serine/arginine-rich splicing factor 7" "Bos taurus" "9913" "SRSF7" "2" "1"
"DCTN2" "Q13561" "DCTN2" "Dynactin subunit 2" "Homo sapiens" "9606" "DCTN2" "1" "4"
"SPTLC1" "Q3MHG1" "SPTLC1" "Serine palmitoyltransferase 1" "Bos taurus" "9913" "SPTLC1" "2" "1"
"UGT2A3" "Q6UWM9" "UGT2A3" "UDP-glucuronosyltransferase 2A3" "Homo sapiens" "9606" "UGT2A3" "2" "2"
"NOC2L" "Q3SYU1" "NOC2L" "Nucleolar complex protein 2 homolog" "Bos taurus" "9913" "NOC2L" "2" "1"
"NAP1L2" "Q9ULW6" "NAP1L2" "Nucleosome assembly protein 1-like 2" "Homo sapiens" "9606" "NAP1L2" "1" "1"
"STRAP" "Q5e959" "STRAP" "Serine-threonine kinase receptor-associated protein" "Bos taurus" "9913" "STRAP" "2" "1"
"COPB1" "P53618" "COPB1" "Coatomer subunit beta" "Homo sapiens" "9606" "COPB1" "1" "3"
"DSG3" "P32926" "DSG3" "Desmoglein-3" "Homo sapiens" "9606" "DSG3" "1" "2"
"Q3SZQ6" "Q3SZQ6" "Q3SZQ6" "Large ribosomal subunit protein eL32" "Bos taurus" "9913" "RPL32" "2" "3"
"LMNA" "P02545" "LMNA" "Prelamin-A/C" "Homo sapiens" "9606" "LMNA" "1" "1"
"USP14" "P54578" "USP14" "Ubiquitin carboxyl-terminal hydrolase 14" "Homo sapiens" "9606" "USP14" "1" "3"
"SOD1" "P00442" "SOD1" "Superoxide dismutase [Cu-Zn]" "Bos taurus" "9913" "SOD1" "1" "2"
"F11R" "Q9XT56" "F11R" "Junctional adhesion molecule A" "Bos taurus" "9913" "F11R" "2" "1"
"UGT1A8" "Q9HAW9" "UGT1A8" "UDP-glucuronosyltransferase 1A8" "Homo sapiens" "9606" "UGT1A8" "1" "1"
"DHRS9" "Q9BPW9" "DHRS9" "Dehydrogenase/reductase SDR family member 9" "Homo sapiens" "9606" "DHRS9" "1" "1"
"HSD17B4" "P51659" "HSD17B4" "Peroxisomal multifunctional enzyme type 2" "Homo sapiens" "9606" "HSD17B4" "1" "3"
"P43307" "P43307" "P43307" "Translocon-associated protein subunit alpha" "Homo sapiens" "9606" "SSR1" "1" "3"
"PMVK" "Q15126" "PMVK" "Phosphomevalonate kinase" "Homo sapiens" "9606" "PMVK" "1" "3"
"P62750" "P62750" "P62750" "Large ribosomal subunit protein uL23" "Homo sapiens" "9606" "RPL23A" "1" "1"
"HNRNPM" "P52272" "HNRNPM" "Heterogeneous nuclear ribonucleoprotein M" "Homo sapiens" "9606" "HNRNPM" "1" "3"
"PAH" "Q2KIH7" "PAH" "Phenylalanine-4-hydroxylase" "Bos taurus" "9913" "PAH" "2" "1"
"QPCT" "Q28120" "QPCT" "Glutaminyl-peptide cyclotransferase" "Bos taurus" "9913" "QPCT" "1" "1"
"Q99497" "Q99497" "Q99497" "Parkinson disease protein 7" "Homo sapiens" "9606" "PARK7" "1" "2"
"GNB2" "P11017" "GNB2" "Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2" "Bos taurus" "9913" "GNB2" "2" "3"
"PSAPL1" "Q6NUJ1" "PSAPL1" "Proactivator polypeptide-like 1" "Homo sapiens" "9606" "PSAPL1" "2" "2"
"CSTB" "P04080" "CSTB" "Cystatin-B" "Homo sapiens" "9606" "CSTB" "1" "2"
"A7YW98" "A7YW98" "A7YW98" "Arginine--tRNA ligase. cytoplasmic" "Bos taurus" "9913" "RARS1" "2" "1"
"CLINT1" "Q14677" "CLINT1" "Clathrin interactor 1" "Homo sapiens" "9606" "CLINT1" "1" "1"
"Q58DS9" "Q58DS9" "Q58DS9" "Ras-related protein Rab-5C" "Bos taurus" "9913" "RAB5C" "2" "1"
"TPD52L2" "O43399" "TPD52L2" "Tumor protein D54" "Homo sapiens" "9606" "TPD52L2" "1" "2"
"BCAP31" "P51572" "BCAP31" "B-cell receptor-associated protein 31" "Homo sapiens" "9606" "BCAP31" "1" "3"
"KIF13A" "Q9H1H9" "KIF13A" "Kinesin-like protein KIF13A" "Homo sapiens" "9606" "KIF13A" "1" "2"
"GKAP1" "Q5VSY0" "GKAP1" "G kinase-anchoring protein 1" "Homo sapiens" "9606" "GKAP1" "1" "2"
"KRTDAP" "P60985" "KRTDAP" "Keratinocyte differentiation-associated protein" "Homo sapiens" "9606" "KRTDAP" "1" "1"
"URI1" "Q3B7M7" "URI1" "Unconventional prefoldin RPB5 interactor" "Bos taurus" "9913" "URI1" "2" "1"
"PLA2G4B" "P0C869" "PLA2G4B" "Cytosolic phospholipase A2 beta" "Homo sapiens" "9606" "PLA2G4B" "1" "2"
"UBe2J1" "Q9Y385" "UBe2J1" "Ubiquitin-conjugating enzyme e2 J1" "Homo sapiens" "9606" "UBe2J1" "1" "2"
"ATP13A5" "Q4VNC0" "ATP13A5" "Probable cation-transporting ATPase 13A5" "Homo sapiens" "9606" "ATP13A5" "2" "1"
"PHB1" "P35232" "PHB1" "Prohibitin 1" "Homo sapiens" "9606" "PHB1" "1" "1"
"OAS3" "Q9Y6K5" "OAS3" "2'-5'-oligoadenylate synthase 3" "Homo sapiens" "9606" "OAS3" "1" "3"
"GARS1" "P41250" "GARS1" "Glycine--tRNA ligase" "Homo sapiens" "9606" "GARS1" "1" "3"
"HNRNPCL4" "P0DMR1" "HNRNPCL4" "Heterogeneous nuclear ribonucleoprotein C-like 4" "Homo sapiens" "9606" "HNRNPCL4" "3" "1"
"IDH2" "P48735" "IDH2" "Isocitrate dehydrogenase [NADP]. mitochondrial" "Homo sapiens" "9606" "IDH2" "1" "2"
"Q3T003" "Q3T003" "Q3T003" "Large ribosomal subunit protein eL20" "Bos taurus" "9913" "RPL18A" "1" "1"
"eIF3I" "Q5e966" "eIF3I" "eukaryotic translation initiation factor 3 subunit I" "Bos taurus" "9913" "eIF3I" "2" "1"
"ACOX3" "O15254" "ACOX3" "Peroxisomal acyl-coenzyme A oxidase 3" "Homo sapiens" "9606" "ACOX3" "1" "2"
"FAM83H" "Q6ZRV2" "FAM83H" "Protein FAM83H" "Homo sapiens" "9606" "FAM83H" "1" "3"
"TAF15" "Q92804" "TAF15" "TATA-binding protein-associated factor 2N" "Homo sapiens" "9606" "TAF15" "1" "1"
"UGT1A9" "O60656" "UGT1A9" "UDP-glucuronosyltransferase 1A9" "Homo sapiens" "9606" "UGT1A9" "1" "1"
"SeRPINA9" "Q86WD7" "SeRPINA9" "Serpin A9" "Homo sapiens" "9606" "SeRPINA9" "1" "3"
"DPYD" "Q28007" "DPYD" "Dihydropyrimidine dehydrogenase [NADP(+)]" "Bos taurus" "9913" "DPYD" "1" "1"
"HeRC4" "Q5GLZ8" "HeRC4" "Probable e3 ubiquitin-protein ligase HeRC4" "Homo sapiens" "9606" "HeRC4" "1" "1"
"MBL2" "P11226" "MBL2" "Mannose-binding protein C" "Homo sapiens" "9606" "MBL2" "1" "2"
"SLC43A2" "Q0VCM6" "SLC43A2" "Large neutral amino acids transporter small subunit 4" "Bos taurus" "9913" "SLC43A2" "2" "1"
"HNRNPUL2" "Q1KMD3" "HNRNPUL2" "Heterogeneous nuclear ribonucleoprotein U-like protein 2" "Homo sapiens" "9606" "HNRNPUL2" "1" "1"
"ADRM1" "Q16186" "ADRM1" "Proteasomal ubiquitin receptor ADRM1" "Homo sapiens" "9606" "ADRM1" "1" "2"
"TSNAX" "Q99598" "TSNAX" "Translin-associated protein X" "Homo sapiens" "9606" "TSNAX" "1" "1"
"TeX14" "F1MJR8" "TeX14" "Inactive serine/threonine-protein kinase TeX14" "Bos taurus" "9913" "TeX14" "3" "2"
"eRP29" "P30040" "eRP29" "endoplasmic reticulum resident protein 29" "Homo sapiens" "9606" "eRP29" "1" "4"
"PKP3" "Q9Y446" "PKP3" "Plakophilin-3" "Homo sapiens" "9606" "PKP3" "1" "1"
"O46411" "O46411" "O46411" "Cytosolic purine 5'-nucleotidase" "Bos taurus" "9913" "NT5C2" "1" "1"
"IGLV1-44" "P01699" "IGLV1-44" "Immunoglobulin lambda variable 1-44" "Homo sapiens" "9606" "IGLV1-44" "1" "2"
"TSN" "Q08DM8" "TSN" "Translin" "Bos taurus" "9913" "TSN" "2" "1"
"CUL2" "Q13617" "CUL2" "Cullin-2" "Homo sapiens" "9606" "CUL2" "1" "2"
"RPL15" "Q5eAD6" "RPL15" "Large ribosomal subunit protein eL15" "Bos taurus" "9913" "RPL15" "2" "3"
"RPL27" "P61353" "RPL27" "Large ribosomal subunit protein eL27" "Homo sapiens" "9606" "RPL27" "1" "2"
"SeRPINB2" "P05120" "SeRPINB2" "Plasminogen activator inhibitor 2" "Homo sapiens" "9606" "SeRPINB2" "1" "2"
"AKR1C2" "P52895" "AKR1C2" "Aldo-keto reductase family 1 member C2" "Homo sapiens" "9606" "AKR1C2" "1" "3"
"ALCAM" "Q9BH13" "ALCAM" "CD166 antigen" "Bos taurus" "9913" "ALCAM" "2" "1"
"O60911" "O60911" "O60911" "Cathepsin L2" "Homo sapiens" "9606" "CTSV" "1" "2"
"GMPPB" "Q9Y5P6" "GMPPB" "Mannose-1-phosphate guanyltransferase beta" "Homo sapiens" "9606" "GMPPB" "1" "2"
"P00338" "P00338" "P00338" "L-lactate dehydrogenase A chain" "Homo sapiens" "9606" "LDHA" "1" "2"
"SeRPINB13" "Q9UIV8" "SeRPINB13" "Serpin B13" "Homo sapiens" "9606" "SeRPINB13" "1" "2"
"P63096" "P63096" "P63096" "Guanine nucleotide-binding protein G(i) subunit alpha-1" "Homo sapiens" "9606" "GNAI1" "1" "2"
"P62194" "P62194" "P62194" "26S proteasome regulatory subunit 8" "Bos taurus" "9913" "PSMC5" "2" "1"
"eTFA" "Q2KJe4" "eTFA" "electron transfer flavoprotein subunit alpha. mitochondrial" "Bos taurus" "9913" "eTFA" "2" "1"
"PRSS23" "Q1LZe9" "PRSS23" "Serine protease 23" "Bos taurus" "9913" "PRSS23" "2" "1"
"ATP2A3" "Q93084" "ATP2A3" "Sarcoplasmic/endoplasmic reticulum calcium ATPase 3" "Homo sapiens" "9606" "ATP2A3" "1" "3"
"P61006" "P61006" "P61006" "Ras-related protein Rab-8A" "Homo sapiens" "9606" "RAB8A" "1" "1"
"P04896" "P04896" "P04896" "Guanine nucleotide-binding protein G(s) subunit alpha isoforms short" "Bos taurus" "9913" "GNAS" "1" "1"
"Q9BVK6" "Q9BVK6" "Q9BVK6" "Transmembrane emp24 domain-containing protein 9" "Homo sapiens" "9606" "TMeD9" "1" "2"
"TBC1D31" "Q29RL0" "TBC1D31" "TBC1 domain family member 31" "Bos taurus" "9913" "TBC1D31" "2" "1"
"PTGFRN" "Q9P2B2" "PTGFRN" "Prostaglandin F2 receptor negative regulator" "Homo sapiens" "9606" "PTGFRN" "1" "2"
"MYL6B" "P14649" "MYL6B" "Myosin light chain 6B" "Homo sapiens" "9606" "MYL6B" "1" "1"
"P18669" "P18669" "P18669" "Phosphoglycerate mutase 1" "Homo sapiens" "9606" "PGAM1" "1" "2"
"AP3B2" "Q13367" "AP3B2" "AP-3 complex subunit beta-2" "Homo sapiens" "9606" "AP3B2" "1" "2"
"MCTS1" "Q2KIe4" "MCTS1" "Malignant T-cell-amplified sequence 1" "Bos taurus" "9913" "MCTS1" "2" "1"
"GLUL" "P15104" "GLUL" "Glutamine synthetase" "Homo sapiens" "9606" "GLUL" "1" "4"
"BCL2L13" "Q9BXK5" "BCL2L13" "Bcl-2-like protein 13" "Homo sapiens" "9606" "BCL2L13" "1" "1"
"NOMO2" "Q5JPe7" "NOMO2" "BOS complex subunit NOMO2" "Homo sapiens" "9606" "NOMO2" "1" "1"
"PI3" "P19957" "PI3" "elafin" "Homo sapiens" "9606" "PI3" "1" "3"
"ZNF830" "Reverse_sp|Q96NB3|ZN830_HUMAN" "ZNF830" "Zinc finger protein 830" "Homo sapiens" "9606" "ZNF830" "1" "2"
"IFI30" "A6QPN6" "IFI30" "Gamma-interferon-inducible lysosomal thiol reductase" "Bos taurus" "9913" "IFI30" "2" "1"
"IGKV2D-30" "A0A075B6S6" "IGKV2D-30" "Immunoglobulin kappa variable 2D-30" "Homo sapiens" "9606" "IGKV2D-30" "3" "1"
"NeU3" "O97859" "NeU3" "Sialidase-3" "Bos taurus" "9913" "NeU3" "1" "1"
"OTUB1" "Q96FW1" "OTUB1" "Ubiquitin thioesterase OTUB1" "Homo sapiens" "9606" "OTUB1" "1" "2"
"HK2" "P52789" "HK2" "Hexokinase-2" "Homo sapiens" "9606" "HK2" "1" "2"
"Q12884" "Q12884" "Q12884" "Prolyl endopeptidase FAP" "Homo sapiens" "9606" "FAP" "1" "5"
