"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"PRIMPOL" "Reverse_sp|Q08DZ8|PRIPO_BOVIN" "PRIMPOL" "DNA-directed primase/polymerase protein" "Bos taurus" "9913" "PRIMPOL" "2" "1"
"AOC3" "Q9TTK6" "AOC3" "Membrane primary amine oxidase" "Bos taurus" "9913" "AOC3" "2" "3"
"SAR1A" "Q3T0D7" "SAR1A" "GTP-binding protein SAR1a" "Bos taurus" "9913" "SAR1A" "2" "1"
"KRT74" "A3KN27" "KRT74" "Keratin, type II cytoskeletal 74" "Bos taurus" "9913" "KRT74" "2" "1"
"ARPC4" "Q148J6" "ARPC4" "Actin-related protein 2/3 complex subunit 4" "Bos taurus" "9913" "ARPC4" "1" "3"
"NMe1-1" "P52174" "NMe1-1" "Nucleoside diphosphate kinase A 1" "Bos taurus" "9913" "NMe1-1" "1" "3"
"USO1" "P41541" "USO1" "General vesicular transport factor p115" "Bos taurus" "9913" "USO1" "1" "1"
"NMe1-2" "P52175" "NMe1-2" "Nucleoside diphosphate kinase A 2" "Bos taurus" "9913" "NMe1-2" "1" "3"
"PDe12" "Q08DF7" "PDe12" "2',5'-phosphodiesterase 12" "Bos taurus" "9913" "PDe12" "1" "1"
"GATC" "Q2KIF1" "GATC" "Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial" "Bos taurus" "9913" "GATC" "2" "1"
"MPV17L" "Q2KIK2" "MPV17L" "Mpv17-like protein" "Bos taurus" "9913" "MPV17L" "2" "1"
"S100A8" "P28782" "S100A8" "Protein S100-A8" "Bos taurus" "9913" "S100A8" "1" "2"
"eMC10" "A1A4M2" "eMC10" "eR membrane protein complex subunit 10" "Bos taurus" "9913" "eMC10" "2" "1"
"RACK1" "P63243" "RACK1" "Small ribosomal subunit protein RACK1" "Bos taurus" "9913" "RACK1" "2" "3"
"PLCD1" "P10895" "PLCD1" "1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1" "Bos taurus" "9913" "PLCD1" "2" "2"
"63258" "63258" "63258" "Actin, cytoplasmic 2" "Bos taurus" "9913" "ACTG1" "1" "1"
"PSMC4" "Q3T030" "PSMC4" "26S proteasome regulatory subunit 6B" "Bos taurus" "9913" "PSMC4" "2" "1"
"PTPDC1" "Reverse_sp|A7e379|PTPC1_BOVIN" "PTPDC1" "Protein tyrosine phosphatase domain-containing protein 1" "Bos taurus" "9913" "PTPDC1" "2" "2"
"ACTN1" "Q3B7N2" "ACTN1" "Alpha-actinin-1" "Bos taurus" "9913" "ACTN1" "2" "1"
"CAPZA2" "Q5e997" "CAPZA2" "F-actin-capping protein subunit alpha-2" "Bos taurus" "9913" "CAPZA2" "1" "3"
"COTL1" "Q2HJ57" "COTL1" "Coactosin-like protein" "Bos taurus" "9913" "COTL1" "2" "3"
"PReP" "Q9XTA2" "PReP" "Prolyl endopeptidase" "Bos taurus" "9913" "PReP" "2" "1"
"LUC7L3" "Q3SX41" "LUC7L3" "Luc7-like protein 3" "Bos taurus" "9913" "LUC7L3" "2" "1"
"GPATCH1" "Q24K12" "GPATCH1" "G patch domain-containing protein 1" "Bos taurus" "9913" "GPATCH1" "2" "1"
"CNOT10" "A4IFB6" "CNOT10" "CCR4-NOT transcription complex subunit 10" "Bos taurus" "9913" "CNOT10" "2" "1"
"LDHAL6B" "Q3T056" "LDHAL6B" "L-lactate dehydrogenase A-like 6B" "Bos taurus" "9913" "LDHAL6B" "2" "1"
"PGAM2" "Q32KV0" "PGAM2" "Phosphoglycerate mutase 2" "Bos taurus" "9913" "PGAM2" "2" "1"
"PTGDS" "O02853" "PTGDS" "Prostaglandin-H2 D-isomerase" "Bos taurus" "9913" "PTGDS" "1" "1"
"SLC20A2" "A1A4I1" "SLC20A2" "Sodium-dependent phosphate transporter 2" "Bos taurus" "9913" "SLC20A2" "2" "1"
"UBB" "P0CG53" "UBB" "Polyubiquitin-B" "Bos taurus" "9913" "UBB" "1" "1"
"SWAP70" "P0C1G6" "SWAP70" "Switch-associated protein 70" "Bos taurus" "9913" "SWAP70" "1" "1"
"HeXA" "Q0V8R6" "HeXA" "Beta-hexosaminidase subunit alpha" "Bos taurus" "9913" "HeXA" "2" "1"
"ANPeP" "P79098" "ANPeP" "Aminopeptidase N" "Bos taurus" "9913" "ANPeP" "2" "4"
"eIF3J" "Q0VCU8" "eIF3J" "eukaryotic translation initiation factor 3 subunit J" "Bos taurus" "9913" "eIF3J" "2" "1"
"CYP19A1" "P46194" "CYP19A1" "Aromatase" "Bos taurus" "9913" "CYP19A1" "2" "3"
"ADH5" "Q3ZC42" "ADH5" "Alcohol dehydrogenase class-3" "Bos taurus" "9913" "ADH5" "2" "1"
"FeN1" "Q58DH8" "FeN1" "Flap endonuclease 1" "Bos taurus" "9913" "FeN1" "2" "1"
"RPS16" "Q3T0X6" "RPS16" "Small ribosomal subunit protein uS9" "Bos taurus" "9913" "RPS16" "1" "3"
"DPP6" "P42659" "DPP6" "Dipeptidyl aminopeptidase-like protein 6" "Bos taurus" "9913" "DPP6" "1" "1"
"DHX36" "Q05B79" "DHX36" "ATP-dependent DNA/RNA helicase DHX36" "Bos taurus" "9913" "DHX36" "1" "1"
"RPL6" "Q58DQ3" "RPL6" "Large ribosomal subunit protein eL6" "Bos taurus" "9913" "RPL6" "2" "3"
"ACTG2" "Q5e9B5" "ACTG2" "Actin, gamma-enteric smooth muscle" "Bos taurus" "9913" "ACTG2" "2" "1"
"PPP1CA" "Q3T0e7" "PPP1CA" "Serine/threonine-protein phosphatase PP1-alpha catalytic subunit" "Bos taurus" "9913" "PPP1CA" "2" "1"
"ADGRL3" "O97827" "ADGRL3" "Adhesion G protein-coupled receptor L3" "Bos taurus" "9913" "ADGRL3" "2" "1"
"RAB13" "Q58DS5" "RAB13" "Ras-related protein Rab-13" "Bos taurus" "9913" "RAB13" "1" "1"
"RAB7A" "Q3T0F5" "RAB7A" "Ras-related protein Rab-7a" "Bos taurus" "9913" "RAB7A" "2" "1"
"RPS3" "Q3T169" "RPS3" "Small ribosomal subunit protein uS3" "Bos taurus" "9913" "RPS3" "2" "1"
"PSMB3" "P33672" "PSMB3" "Proteasome subunit beta type-3" "Bos taurus" "9913" "PSMB3" "1" "3"
"eIF4A2" "Q3SZ65" "eIF4A2" "eukaryotic initiation factor 4A-II" "Bos taurus" "9913" "eIF4A2" "2" "1"
"VAMP3" "Q2KJD2" "VAMP3" "Vesicle-associated membrane protein 2" "Bos taurus" "9913" "VAMP2" "1" "2"
"ZDHHC9" "Q58DA8" "ZDHHC9" "Palmitoyltransferase ZDHHC9" "Bos taurus" "9913" "ZDHHC9" "2" "1"
"HGS" "Q0V8S0" "HGS" "Hepatocyte growth factor-regulated tyrosine kinase substrate" "Bos taurus" "9913" "HGS" "2" "1"
"PLS1" "A6H742" "PLS1" "Plastin-1" "Bos taurus" "9913" "PLS1" "2" "1"
"BRCA1" "Q864U1" "BRCA1" "Breast cancer type 1 susceptibility protein homolog" "Bos taurus" "9913" "BRCA1" "1" "1"
"RPL7A" "Q2TBQ5" "RPL7A" "Large ribosomal subunit protein eL8" "Bos taurus" "9913" "RPL7A" "2" "3"
"ACTR2" "A7MB62" "ACTR2" "Actin-related protein 2" "Bos taurus" "9913" "ACTR2" "1" "1"
"ARHGeF9" "Reverse_sp|Q58DL7|ARHG9_BOVIN" "ARHGeF9" "Rho guanine nucleotide exchange factor 9" "Bos taurus" "9913" "ARHGeF9" "2" "1"
"PRND" "Q9GK16" "PRND" "Prion-like protein doppel" "Bos taurus" "9913" "PRND" "2" "1"
"ARF2" "P84081" "ARF2" "ADP-ribosylation factor 2" "Bos taurus" "9913" "ARF2" "2" "1"
"HPSe" "Q9MYY0" "HPSe" "Heparanase" "Bos taurus" "9913" "HPSe" "2" "2"
"PLA2G7" "Q28017" "PLA2G7" "Platelet-activating factor acetylhydrolase" "Bos taurus" "9913" "PLA2G7" "2" "1"
"eNPP2" "A1A4K5" "eNPP2" "ectonucleotide pyrophosphatase/phosphodiesterase family member 2" "Bos taurus" "9913" "eNPP2" "1" "1"
"GOT1L1" "Q2T9S8" "GOT1L1" "Putative aspartate aminotransferase, cytoplasmic 2" "Bos taurus" "9913" "GOT1L1" "2" "1"
"SNRPB" "Q58DW4" "SNRPB" "Small nuclear ribonucleoprotein-associated protein B'" "Bos taurus" "9913" "SNRPB" "2" "1"
"MYLK" "Q28824" "MYLK" "Myosin light chain kinase, smooth muscle" "Bos taurus" "9913" "MYLK" "1" "1"
"POLA2" "Q58D13" "POLA2" "DNA polymerase alpha subunit B" "Bos taurus" "9913" "POLA2" "2" "1"
"CAPN2" "Q27971" "CAPN2" "Calpain-2 catalytic subunit" "Bos taurus" "9913" "CAPN2" "2" "2"
"ASL" "Q3SZJ0" "ASL" "Argininosuccinate lyase" "Bos taurus" "9913" "ASL" "2" "1"
"SAT2" "Q7PCJ8" "SAT2" "Thialysine N-epsilon-acetyltransferase" "Bos taurus" "9913" "SAT2" "2" "1"
"PPIC" "Q08e11" "PPIC" "Peptidyl-prolyl cis-trans isomerase C" "Bos taurus" "9913" "PPIC" "2" "1"
"CD14" "Q95122" "CD14" "Monocyte differentiation antigen CD14" "Bos taurus" "9913" "CD14" "2" "2"
"GALM" "Q5eA79" "GALM" "Galactose mutarotase" "Bos taurus" "9913" "GALM" "2" "1"
"GNAT2" "P04696" "GNAT2" "Guanine nucleotide-binding protein G(t) subunit alpha-2" "Bos taurus" "9913" "GNAT2" "1" "3"
"SAA1" "P35541" "SAA1" "Serum amyloid A protein" "Bos taurus" "9913" "SAA1" "1" "2"
"RPL27" "P61356" "RPL27" "Large ribosomal subunit protein eL27" "Bos taurus" "9913" "RPL27" "2" "2"
"ACTN2" "Q3ZC55" "ACTN2" "Alpha-actinin-2" "Bos taurus" "9913" "ACTN2" "2" "1"
"AOCX" "Q29437" "AOCX" "Primary amine oxidase, liver isozyme" "Bos taurus" "9913" NA "1" "1"
"SeLeNOP" "P49907" "SeLeNOP" "Selenoprotein P" "Bos taurus" "9913" "SeLeNOP" "2" "2"
"DNAJC12" "Q9N287" "DNAJC12" "DnaJ homolog subfamily C member 12" "Bos taurus" "9913" "DNAJC12" "2" "1"
"ALDOB" "Q3T0S5" "ALDOB" "Fructose-bisphosphate aldolase B" "Bos taurus" "9913" "ALDOB" "2" "1"
"QDPR" "Q3T0Z7" "QDPR" "Dihydropteridine reductase" "Bos taurus" "9913" "QDPR" "2" "1"
"eeF2" "Q3SYU2" "eeF2" "elongation factor 2" "Bos taurus" "9913" "eeF2" "2" "3"
"ZFYVe27" "Q5BIM5" "ZFYVe27" "Protrudin" "Bos taurus" "9913" "ZFYVe27" "2" "1"
"C1S" "Q0VCX1" "C1S" "Complement C1s subcomponent" "Bos taurus" "9913" "C1S" "2" "2"
"MIF" "P80177" "MIF" "Macrophage migration inhibitory factor" "Bos taurus" "9913" "MIF" "1" "6"
"ADSL" "A3KN12" "ADSL" "Adenylosuccinate lyase" "Bos taurus" "9913" "ADSL" "2" "1"
"ARFIP2" "Q3ZCL5" "ARFIP2" "Arfaptin-2" "Bos taurus" "9913" "ARFIP2" "2" "1"
"DDX39B" "Q3T147" "DDX39B" "Spliceosome RNA helicase DDX39B" "Bos taurus" "9913" "DDX39B" "2" "1"
"VIM" "P48616" "VIM" "Vimentin" "Bos taurus" "9913" "VIM" "1" "3"
"GUF1" "A6QLJ3" "GUF1" "Translation factor GUF1, mitochondrial" "Bos taurus" "9913" "GUF1" "2" "1"
"CATHL7" "P56425" "CATHL7" "Cathelicidin-7" "Bos taurus" "9913" "CATHL7" "2" "1"
"TIe1" "Q06805" "TIe1" "Tyrosine-protein kinase receptor Tie-1" "Bos taurus" "9913" "TIe1" "2" "1"
"CS" "Q29RK1" "CS" "Citrate synthase, mitochondrial" "Bos taurus" "9913" "CS" "1" "1"
"P68432" "P68432" "P68432" "Histone H3.1" "Bos taurus" "9913" "H3-3A" "1" "2"
"ascc3" "Reverse_sp|e1BNG3|ASCC3_BOVIN" "ascc3" "Activating signal cointegrator 1 complex subunit 3" "Bos taurus" "9913" "ascc3" "3" "1"
"PPP1CC" "P61287" "PPP1CC" "Serine/threonine-protein phosphatase PP1-gamma catalytic subunit" "Bos taurus" "9913" "PPP1CC" "2" "1"
"PPP2CB" "Q0P594" "PPP2CB" "Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform" "Bos taurus" NA NA NA NA
"eeF1G" "Q3SZV3" "eeF1G" "elongation factor 1-gamma" "Bos taurus" "9913" "eeF1G" "2" "1"
"PARK7" "Q5e946" "PARK7" "Parkinson disease protein 7 homolog" "Bos taurus" "9913" "PARK7" "2" "1"
"ATP5F1A" "P19483" "ATP5F1A" "ATP synthase subunit alpha, mitochondrial" "Bos taurus" "9913" "ATP5F1A" "1" "1"
"RPS8" "Q5e958" "RPS8" "Small ribosomal subunit protein eS8" "Bos taurus" "9913" "RPS8" "1" "3"
"MeA1" "Q29407" "MeA1" "Male-enhanced antigen 1" "Bos taurus" "9913" "MeA1" "2" "1"
"ACAP1" "Reverse_sp|A5PK26|ACAP1_BOVIN" "ACAP1" "Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1" "Bos taurus" "9913" "ACAP1" "2" "1"
"B4GAT1" "Q5eA01" "B4GAT1" "Beta-1,4-glucuronyltransferase 1" "Bos taurus" "9913" "B4GAT1" "2" "2"
"TXN" "O97680" "TXN" "Thioredoxin" "Bos taurus" "9913" "TXN" "3" "3"
"SeC13" "Q3ZCC9" "SeC13" "Protein SeC13 homolog" "Bos taurus" "9913" "SeC13" "2" "1"
"ADGRL2" "O97817" "ADGRL2" "Adhesion G protein-coupled receptor L2" "Bos taurus" "9913" "ADGRL2" "2" "1"
"CDC23" "A1A4R8" "CDC23" "Cell division cycle protein 23 homolog" "Bos taurus" "9913" "CDC23" "2" "1"
"SeLeNBP1" "Q2KJ32" "SeLeNBP1" "Methanethiol oxidase" "Bos taurus" "9913" "SeLeNBP1" "1" "1"
"APOBeC2" "Q3SYR3" "APOBeC2" "Probable C- U-editing enzyme APOBeC-2" "Bos taurus" "9913" "APOBeC2" "2" "1"
"BHMT" "Q5I597" "BHMT" "Betaine--homocysteine S-methyltransferase 1" "Bos taurus" "9913" "BHMT" "2" "1"
"COMT" "A7MBI7" "COMT" "Catechol O-methyltransferase" "Bos taurus" "9913" "COMT" "2" "1"
" K2CB" "P04262" " K2CB" "Keratin, type II cytoskeletal 68 kDa, component IB (Fragment)" "Bos taurus" "9913" NA "2" "1"
"AMH" "P03972" "AMH" "Muellerian-inhibiting factor" "Bos taurus" "9913" "AMH" "1" "1"
"TNFAIP8" "A4IF78" "TNFAIP8" "Tumor necrosis factor alpha-induced protein 8" "Bos taurus" "9913" "TNFAIP8" "2" "1"
"PSMA1" "Q3T0X5" "PSMA1" "Proteasome subunit alpha type-1" "Bos taurus" "9913" "PSMA1" "1" "1"
"AP5B1" "G3MZC5" "AP5B1" "AP-5 complex subunit beta-1" "Bos taurus" "9913" "AP5B1" "2" "1"
"FAM174B" "Q1RMK9" "FAM174B" "Membrane protein FAM174B" "Bos taurus" "9913" "FAM174B" "2" "1"
"HPD" "Q5eA20" "HPD" "4-hydroxyphenylpyruvate dioxygenase" "Bos taurus" "9913" "HPD" "2" "3"
"PYY2" "Reverse_sp|P06833|PYY2_BOVIN" "PYY2" "Caltrin" "Bos taurus" "9913" "PYY2" "1" "2"
"TRIM2" "A4IF63" "TRIM2" "Tripartite motif-containing protein 2" "Bos taurus" "9913" "TRIM2" "2" "1"
"ASPN" "Q3ZBN5" "ASPN" "Asporin" "Bos taurus" "9913" "ASPN" "2" "1"
"PGAM1" "Q3SZ62" "PGAM1" "Phosphoglycerate mutase 1" "Bos taurus" "9913" "PGAM1" "2" "3"
"P4HB" "P05307" "P4HB" "Protein disulfide-isomerase" "Bos taurus" "9913" "P4HB" "1" "1"
"HPCAL1" "P29105" "HPCAL1" "Hippocalcin-like protein 1" "Bos taurus" "9913" "HPCAL1" "1" "4"
"WDR18" "Q3SZD4" "WDR18" "WD repeat-containing protein 18" "Bos taurus" "9913" "WDR18" "2" "1"
"KRT28" "Q148H6" "KRT28" "Keratin, type I cytoskeletal 28" "Bos taurus" "9913" "KRT28" "2" "1"
"ZRANB3" "e1BB03" "ZRANB3" "DNA annealing helicase and endonuclease ZRANB3" "Bos taurus" "9913" "ZRANB3" "3" "3"
"SePTIN6" "Q3SZN0" "SePTIN6" "Septin-6" "Bos taurus" "9913" "SePTIN6" "2" "1"
"KRTAP10-8" "A6QP35" "KRTAP10-8" "Keratin-associated protein 10-8" "Bos taurus" "9913" "KRTAP10-8" "2" "1"
"CAPZA1" "A4FUA8" "CAPZA1" "F-actin-capping protein subunit alpha-1" "Bos taurus" "9913" "CAPZA1" "2" "1"
"ST14" "Q0IIH7" "ST14" "Suppressor of tumorigenicity 14 protein homolog" "Bos taurus" "9913" "ST14" "2" "1"
"CDCA2" "Q29RT4" "CDCA2" "Cell division cycle-associated protein 2" "Bos taurus" "9913" "CDCA2" "2" "1"
"UBe2D1" "Q2TA10" "UBe2D1" "Ubiquitin-conjugating enzyme e2 D1" "Bos taurus" "9913" "UBe2D1" "2" "1"
"CFL2" "Q148F1" "CFL2" "Cofilin-2" "Bos taurus" "9913" "CFL2" "2" "1"
"CMPK1" "Q2KIW9" "CMPK1" "UMP-CMP kinase" "Bos taurus" "9913" "CMPK1" "2" "2"
"ACTA2" "P62739" "ACTA2" "Actin, aortic smooth muscle" "Bos taurus" "9913" "ACTA2" "1" "1"
"SPZ1" "Q32L17" "SPZ1" "Spermatogenic leucine zipper protein 1" "Bos taurus" "9913" "SPZ1" "2" "1"
"LYRM7" "Q2M2S9" "LYRM7" "Complex III assembly factor LYRM7" "Bos taurus" "9913" "LYRM7" "3" "1"
"ANXA4" "P13214" "ANXA4" "Annexin A4" "Bos taurus" "9913" "ANXA4" "1" "2"
"PAFAH1B1" "P43033" "PAFAH1B1" "Platelet-activating factor acetylhydrolase IB subunit beta" "Bos taurus" "9913" "PAFAH1B1" "1" "2"
"ALYReF" "Q3T0I4" "ALYReF" "THO complex subunit 4" "Bos taurus" "9913" "ALYReF" "2" "1"
"GNB2" "P11017" "GNB2" "Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2" "Bos taurus" "9913" "GNB2" "2" "3"
"GeT4" "Q0P5I8" "GeT4" "Golgi to eR traffic protein 4 homolog" "Bos taurus" "9913" "GeT4" "2" "1"
"GRB14" "Reverse_sp|Q5ICW4|GRB14_BOVIN" "GRB14" "Growth factor receptor-bound protein 14" "Bos taurus" "9913" "GRB14" "1" "1"
"PROCR" "Q28105" "PROCR" "endothelial protein C receptor" "Bos taurus" "9913" "PROCR" "2" "1"
"PDIA3" "P38657" "PDIA3" "Protein disulfide-isomerase A3" "Bos taurus" "9913" "PDIA3" "2" "1"
"ABAT" "Q9BGI0" "ABAT" "4-aminobutyrate aminotransferase, mitochondrial" "Bos taurus" "9913" "ABAT" "2" "1"
"PFKL" "A1A4J1" "PFKL" "ATP-dependent 6-phosphofructokinase, liver type" "Bos taurus" "9913" "PFKL" "2" "1"
"DUSP14" "Q17QM8" "DUSP14" "Dual specificity protein phosphatase 14" "Bos taurus" "9913" "DUSP14" "2" "1"
"TRMT5" "Q3MHN8" "TRMT5" "tRNA (guanine(37)-N1)-methyltransferase" "Bos taurus" "9913" "TRMT5" "2" "1"
"BCL2L2" "Q1RMX3" "BCL2L2" "Bcl-2-like protein 2" "Bos taurus" "9913" "BCL2L2" "1" "1"
"SMC3" "Reverse_sp|O97594|SMC3_BOVIN" "SMC3" "Structural maintenance of chromosomes protein 3" "Bos taurus" "9913" "SMC3" "1" "1"
"PSMD2" "P56701" "PSMD2" "26S proteasome non-ATPase regulatory subunit 2" "Bos taurus" "9913" "PSMD2" "1" "2"
"PYGL" "Q0VCM4" "PYGL" "Glycogen phosphorylase, liver form" "Bos taurus" "9913" "PYGL" "2" "1"
"TMeM169" "Q2TBG9" "TMeM169" "Transmembrane protein 169" "Bos taurus" "9913" "TMeM169" "2" "1"
"F11" "Q5NTB3" "F11" "Coagulation factor XI" "Bos taurus" "9913" "F11" "1" "1"
"TBX6" "e1BeA8" "TBX6" "T-box transcription factor TBX6" "Bos taurus" "9913" "TBX6" "3" "2"
"PSMA4" "Q3ZCK9" "PSMA4" "Proteasome subunit alpha type-4" "Bos taurus" "9913" "PSMA4" "1" "1"
"RPSA" "P26452" "RPSA" "Small ribosomal subunit protein uS2" "Bos taurus" "9913" "RPSA" "2" "4"
"ACTN4" "A5D7D1" "ACTN4" "Alpha-actinin-4" "Bos taurus" "9913" "ACTN4" "2" "1"
"DCXR" "Q1JP75" "DCXR" "L-xylulose reductase" "Bos taurus" "9913" "DCXR" "2" "1"
"CCT6A" "Q3MHL7" "CCT6A" "T-complex protein 1 subunit zeta" "Bos taurus" "9913" "CCT6A" "1" "3"
"MMP2" "Q9GLe5" "MMP2" "72 kDa type IV collagenase" "Bos taurus" "9913" "MMP2" "2" "1"
"PSMA6" "Q2YDe4" "PSMA6" "Proteasome subunit alpha type-6" "Bos taurus" "9913" "PSMA6" "1" "1"
"H2AZ2" "Q32LA7" "H2AZ2" "Histone H2A.V" "Bos taurus" "9913" "H2AZ2" "2" "3"
"VTA1" "Q32L63" "VTA1" "Vacuolar protein sorting-associated protein VTA1 homolog" "Bos taurus" "9913" "VTA1" "2" "1"
"CHRNA5" "Q8SPU7" "CHRNA5" "Neuronal acetylcholine receptor subunit alpha-5" "Bos taurus" "9913" "CHRNA5" "2" "1"
"ALDH9A1" "Q2KJH9" "ALDH9A1" "4-trimethylaminobutyraldehyde dehydrogenase" "Bos taurus" "9913" "ALDH9A1" "2" "1"
"NNAT" "Q3ZBS9" "NNAT" "Neuronatin" "Bos taurus" "9913" "NNAT" "3" "1"
"ANXA8" "Q95L54" "ANXA8" "Annexin A8" "Bos taurus" "9913" "ANXA8" "2" "1"
"NUDT11" "Q58CW0" "NUDT11" "Diphosphoinositol polyphosphate phosphohydrolase 3-beta" "Bos taurus" "9913" "NUDT11" "2" "2"
"COL11A2" "Q32S24" "COL11A2" "Collagen alpha-2(XI) chain" "Bos taurus" "9913" "COL11A2" "3" "1"
"Q5e9F8" "Q5e9F8" "Q5e9F8" "Histone H3.1" "Bos taurus" "9913" NA "1" "2"
"C5" "P12082" "C5" "Complement C5a anaphylatoxin" "Bos taurus" "9913" "C5" "1" "1"
"PCMTD1" "A2VDP2" "PCMTD1" "Protein-L-isoaspartate O-methyltransferase domain-containing protein 1" "Bos taurus" "9913" "PCMTD1" "2" "1"
"RAB5A" "Q0IIG7" "RAB5A" "Ras-related protein Rab-5A" "Bos taurus" "9913" "RAB5A" "1" "1"
"FeM1C" "A7MB89" "FeM1C" "Protein fem-1 homolog C" "Bos taurus" "9913" "FeM1C" "2" "1"
"VPS28" "Q3T178" "VPS28" "Vacuolar protein sorting-associated protein 28 homolog" "Bos taurus" "9913" "VPS28" "2" "1"
"SLC25A5" "Q8SQH5" "SLC25A5" "ADP/ATP translocase 2" "Bos taurus" "9913" "SLC25A5" "2" "3"
"CRYZL1" "Q59A28" "CRYZL1" "Quinone oxidoreductase-like protein 1" "Bos taurus" "9913" "CRYZL1" "2" "1"
"eXOC3" "Q0V8C2" "eXOC3" "exocyst complex component 3" "Bos taurus" "9913" "eXOC3" "2" "1"
"GNAT1" "P04695" "GNAT1" "Guanine nucleotide-binding protein G(t) subunit alpha-1" "Bos taurus" "9913" "GNAT1" "1" "3"
"RPS4" "P79103" "RPS4" "Small ribosomal subunit protein eS4" "Bos taurus" "9913" "RPS4" "2" "3"
"TMeM134" "Q05B54" "TMeM134" "Transmembrane protein 134" "Bos taurus" "9913" "TMeM134" "2" "2"
"NPB" "Q8MJV4" "NPB" "Neuropeptide B" "Bos taurus" "9913" "NPB" "1" "1"
"RASA1" "P09851" "RASA1" "Ras GTPase-activating protein 1" "Bos taurus" "9913" "RASA1" "1" "1"
"CUeDC2" "Q3ZBN4" "CUeDC2" "CUe domain-containing protein 2" "Bos taurus" "9913" "CUeDC2" "2" "1"
"RIBC1" "Q0VC09" "RIBC1" "RIB43A-like with coiled-coils protein 1" "Bos taurus" "9913" "RIBC1" "2" "1"
"RNPC3" "Q3MHP0" "RNPC3" "RNA-binding region-containing protein 3" "Bos taurus" "9913" "RNPC3" "2" "1"
"TKTL2" "Q2NKZ4" "TKTL2" "Transketolase-like protein 2" "Bos taurus" "9913" "TKTL2" "2" "1"
"RPL18A" "Q3T003" "RPL18A" "Large ribosomal subunit protein eL20" "Bos taurus" "9913" "RPL18A" "1" "1"
"UBe2D2" "Q1RMX2" "UBe2D2" "Ubiquitin-conjugating enzyme e2 D2" "Bos taurus" "9913" "UBe2D2" "2" "1"
"PRXL2B" "Q58CY6" "PRXL2B" "Prostamide/prostaglandin F synthase" "Bos taurus" "9913" "PRXL2B" "2" "1"
"CIMAP1C" "Q2KIH8" "CIMAP1C" "Protein CIMAP1C" "Bos taurus" "9913" "CIMAP1C" "2" "1"
"IMP3" "Q3T0M3" "IMP3" "U3 small nucleolar ribonucleoprotein protein IMP3" "Bos taurus" "9913" "IMP3" "2" "1"
"B2M" "P01888" "B2M" "Beta-2-microglobulin" "Bos taurus" "9913" "B2M" "1" "2"
"RPS3A" "Q56JV9" "RPS3A" "Small ribosomal subunit protein eS1" "Bos taurus" "9913" "RPS3A" "2" "3"
"IDe" "Q24K02" "IDe" "Insulin-degrading enzyme" "Bos taurus" "9913" "IDe" "2" "1"
"GNPTG" "Q58CS8" "GNPTG" "N-acetylglucosamine-1-phosphotransferase subunit gamma" "Bos taurus" "9913" "GNPTG" "1" "4"
"CFAP95" "Q32L77" "CFAP95" "Cilia- and flagella-associated protein 95" "Bos taurus" "9913" "CFAP95" "1" "1"
"SNX11" "Q08DD7" "SNX11" "Sorting nexin-11" "Bos taurus" "9913" "SNX11" "2" "1"
"ACP3" "A6H730" "ACP3" "Prostatic acid phosphatase" "Bos taurus" "9913" "ACP3" "2" "1"
"IGF1" "P07455" "IGF1" "Insulin-like growth factor I" "Bos taurus" "9913" "IGF1" "1" "2"
"SCARB1" "O18824" "SCARB1" "Scavenger receptor class B member 1" "Bos taurus" "9913" "SCARB1" "2" "1"
"GOT2" "P12344" "GOT2" "Aspartate aminotransferase, mitochondrial" "Bos taurus" "9913" "GOT2" "1" "2"
"TPPP" "Q27957" "TPPP" "Tubulin polymerization-promoting protein" "Bos taurus" "9913" "TPPP" "1" "1"
"ACAN" "P13608" "ACAN" "Aggrecan core protein" "Bos taurus" "9913" "ACAN" "1" "3"
"SAMD5" "Q09YL6" "SAMD5" "Sterile alpha motif domain-containing protein 5" "Bos taurus" "9913" "SAMD5" "3" "1"
"H3CL" "Q3SZB8" "H3CL" "Histone H3.3C-like" "Bos taurus" "9913" NA "2" "3"
"RAB15" "Q1RMR4" "RAB15" "Ras-related protein Rab-15" "Bos taurus" "9913" "RAB15" "2" "1"
"FND11" "Q2T9Z2" "FND11" "Fibronectin type III domain-containing protein 11" "Bos taurus" "9913" NA "2" "1"
"OXR1" "A5PKL1" "OXR1" "Oxidation resistance protein 1" "Bos taurus" "9913" "OXR1" "2" "2"
"PPP2CA" "P67774" "PPP2CA" "Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform" "Bos taurus" "9913" "PPP2CA" "1" "1"
"MDH2" "Q32LG3" "MDH2" "Malate dehydrogenase, mitochondrial" "Bos taurus" "9913" "MDH2" "1" "1"
"SORD" "Q58D31" "SORD" "Sorbitol dehydrogenase" "Bos taurus" "9913" "SORD" "1" "3"
"eeF1B" "Q5e983" "eeF1B" "elongation factor 1-beta" "Bos taurus" "9913" "eeF1B" "2" "3"
