"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_15" "PEG_24h_D240_16"
"ANPeP" NA NA NA NA NA NA NA NA NA NA NA 0.0519619
"eIF3J" 0.21898961 NA NA NA NA NA NA NA NA NA NA NA
"CYP19A1" NA NA NA NA NA NA NA NA NA NA 0.071519256 NA
"ADH5" NA NA NA NA NA NA NA NA NA NA 0.3273945 NA
"FeN1" NA NA NA NA NA NA NA NA NA NA NA NA
"RPS16" 0.1694994 NA NA NA 0.1694994 NA NA NA NA NA NA NA
"DPP6" NA NA NA NA NA NA NA NA NA NA 0.07398939 NA
"DHX36" NA NA NA NA NA NA NA NA NA 0.02093947 NA NA
"RPL6" NA NA NA NA NA NA NA NA NA NA NA NA
"ACTG2" NA NA NA NA NA NA NA NA 0.39958727 NA NA NA
"PPP1CA" 0.13501084 NA NA NA NA NA NA NA NA NA NA NA
"ADGRL3" 0.035142183 NA NA NA NA NA NA NA NA NA NA NA
"RAB13" 0.31219995 0.31219995 0.22743917 NA NA 0.25602996 NA NA NA NA 0.40604758 NA
"RAB7A" 0.4421153 NA NA NA NA 0.1561122 NA NA NA NA NA NA
"RPS3" NA NA NA NA 0.36772883 NA NA NA NA NA NA NA
"PSMB3" NA NA NA NA NA NA NA NA 0.22461617 0.22461617 NA NA
"eIF4A2" NA NA NA NA NA NA NA NA NA NA 0.08143401 NA
"VAMP3" NA NA NA NA 0.455459 NA NA NA NA NA 0.455459 NA
"ZDHHC9" NA NA NA NA 0.09900582 NA NA NA NA NA NA NA
"HGS" NA NA NA NA 0.028016329 NA NA NA NA 0.044720173 NA 0.07894671
"PLS1" 0.23026884 NA NA NA NA NA NA NA NA NA NA NA
"BRCA1" NA 0.06414306 NA NA NA NA NA NA NA NA NA NA
"RPL7A" NA NA NA NA 0.11943793 NA NA NA NA NA NA NA
"ACTR2" NA 0.11686325 NA NA NA NA NA NA NA NA NA NA
"ARHGeF9" NA NA NA NA 0.08893013 NA NA NA NA NA NA NA
"PRND" 0.10917485 NA NA NA NA NA NA NA NA NA NA NA
"ARF2" NA NA NA NA NA NA NA 0.30617094 0.30617094 NA NA NA
"HPSe" NA NA NA NA NA NA NA 0.07894671 NA NA NA NA
"PLA2G7" NA NA NA NA NA NA NA NA NA NA 0.19398808 NA
"eNPP2" NA 0.071519256 NA NA NA NA NA NA NA NA NA NA
"GOT1L1" 0.14551294 NA NA NA NA NA NA NA NA NA NA NA
"SNRPB" NA NA NA NA 0.15345323 NA NA NA NA NA NA NA
"MYLK" NA NA NA NA NA NA NA NA NA NA 0.044720173 0.09395635
"POLA2" NA NA NA NA NA NA NA NA NA NA 0.03038609 NA
"CAPN2" 0.48936105 0.3489629 0.23026884 NA NA NA NA 0.07398939 NA NA NA NA
"ASL" NA NA NA NA NA NA NA NA NA NA 0.054386854 NA
"SAT2" NA NA NA NA NA NA NA NA NA NA NA 0.14551294
"PPIC" 0.25602996 0.38675582 NA NA NA NA NA NA NA NA NA NA
"CD14" 0.13762724 NA NA NA NA NA NA NA NA NA 0.27350307 0.10407865
"GALM" NA 0.12201846 NA NA NA NA NA NA NA NA NA NA
"GNAT2" 0.1324004 NA NA NA NA NA NA NA NA NA NA NA
"SAA1" 0.47570658 0.1324004 0.1324004 NA NA NA NA NA NA NA NA NA
"RPL27" NA NA NA NA 0.3335215 NA NA NA NA NA NA NA
"ACTN2" 0.08642566 NA 0.17489755 NA NA NA NA NA NA NA NA NA
"AOCX" 0.31219995 0.12460494 NA NA NA NA NA NA NA 0.1561122 0.09395635 NA
"SeLeNOP" 0.15345323 0.32434154 0.096478224 NA NA NA NA NA NA NA NA NA
"DNAJC12" NA NA NA NA NA NA 0.20503592 NA NA NA NA NA
"ALDOB" 0.2882495 NA NA NA NA NA NA NA NA NA NA NA
"QDPR" NA 0.18576872 NA NA NA NA NA NA NA NA NA NA
"eeF2" NA NA NA NA 0.33045447 NA NA NA NA NA NA NA
"ZFYVe27" NA NA NA NA NA NA NA NA NA NA 0.096478224 NA
"C1S" 0.054386854 NA NA NA NA NA NA NA NA 0.06659615 0.20503592 NA
"MIF" 0.19674051 NA NA NA 0.19674051 NA NA NA NA NA NA NA
"ADSL" NA 0.20781386 NA NA NA NA NA NA NA NA NA NA
"ARFIP2" NA NA NA NA NA NA NA NA NA 0.11429453 NA 0.12979591
"DDX39B" NA NA NA NA 0.24738348 NA NA NA NA NA NA NA
"VIM" NA NA NA NA NA NA NA NA 0.09900582 NA NA NA
"GUF1" NA NA NA NA NA NA NA NA NA NA 0.30316675 NA
"CATHL7" NA NA 0.26765192 NA NA NA NA NA NA NA NA NA
"TIe1" NA NA NA NA NA NA NA NA NA NA NA 0.04231739
"CS" NA NA NA NA NA NA NA NA NA NA NA NA
"P68432" NA NA NA NA 0.8071741 NA NA NA NA NA NA NA
"ascc3" NA NA NA NA NA NA NA NA 0.016248703 NA NA NA
"PPP1CC" 0.13762724 NA NA NA NA NA NA NA NA NA NA NA
"PPP2CB" NA NA NA NA 0.10917485 NA NA NA NA NA NA NA
"eeF1G" NA NA NA NA 0.2133888 NA NA NA NA NA NA NA
"PARK7" NA NA NA NA 0.7741895 NA NA NA NA NA NA NA
"ATP5F1A" NA NA NA NA 0.06905484 NA NA NA NA NA NA NA
"RPS8" NA NA NA NA 0.18032062 NA NA NA NA NA NA NA
"MeA1" NA NA NA NA 0.28528666 NA NA NA NA NA NA NA
"ACAP1" NA NA NA NA NA NA NA NA NA NA 0.018591404 0.08642566
"B4GAT1" NA NA NA NA NA 0.09395635 NA NA NA NA NA NA
"TXN" 0.5848932 0.48251808 NA NA 0.33045447 NA NA NA NA NA NA NA
"SeC13" NA NA NA NA NA NA NA NA NA NA 0.31219995 NA
"ADGRL2" 0.023293018 NA NA NA NA NA NA NA NA NA NA NA
"CDC23" NA NA NA 0.06414306 NA NA NA NA NA NA NA NA
"SeLeNBP1" NA NA NA NA 1.0090928 NA NA NA NA NA NA NA
"APOBeC2" NA NA NA NA NA NA NA NA NA NA 0.1324004 NA
"BHMT" NA 0.3489629 NA NA NA NA NA NA NA NA NA NA
"COMT" NA 0.35518944 0.47570658 NA NA NA NA NA NA NA NA NA
" K2CB" NA NA 0.47570658 NA NA NA NA NA NA NA NA NA
"AMH" NA NA NA NA 0.044720173 NA NA NA NA NA NA NA
"TNFAIP8" NA NA NA NA NA NA 0.59220874 0.2618276 NA NA NA NA
"PSMA1" 0.3335215 NA 0.4962356 NA NA NA NA NA NA NA NA NA
"AP5B1" NA NA NA NA NA NA NA NA NA NA 0.054386854 NA
"FAM174B" NA NA NA NA 0.12201846 NA NA NA NA NA NA NA
"HPD" 0.53461695 NA NA NA NA NA NA NA NA NA 0.22179961 NA
"PYY2" 0.29419577 NA NA NA NA NA NA NA NA NA NA NA
"TRIM2" NA NA NA NA NA NA NA NA NA NA NA 0.018591404
"ASPN" NA NA NA NA NA NA NA NA NA NA 0.9724227 NA
"PGAM1" NA 0.33659554 NA NA NA NA NA NA NA NA 0.1561122 NA
"P4HB" NA 0.19674051 NA NA NA NA NA NA NA NA NA NA
"HPCAL1" NA 0.21059811 NA NA NA NA NA NA NA NA NA NA
"WDR18" NA NA NA NA NA NA NA NA NA NA 0.09395635 NA
"KRT28" 0.20781386 0.13762724 NA 0.18850219 NA NA NA NA NA NA NA 0.22461617
"ZRANB3" NA NA NA NA NA NA NA NA NA NA 0.11429453 NA
"SePTIN6" NA 0.20781386 NA NA NA NA NA NA NA NA NA NA
"KRTAP10-8" NA NA NA NA 0.52405274 NA NA NA NA NA NA NA
"CAPZA1" NA 0.29419577 NA NA NA NA NA NA NA NA NA NA
"ST14" NA NA NA NA NA NA NA NA NA NA NA 0.032761455
"CDCA2" NA NA NA NA 0.049542427 NA NA NA NA NA NA NA
"UBe2D1" NA NA NA NA NA NA NA NA NA NA NA NA
"CFL2" NA NA NA NA NA 0.35831344 NA NA NA NA NA NA
"CMPK1" NA NA NA NA NA NA NA 0.29419577 NA NA NA NA
"ACTA2" NA NA NA NA NA NA NA NA 0.39958727 NA NA NA
"SPZ1" NA NA NA NA NA NA 0.083926916 NA NA NA NA NA
"LYRM7" NA NA NA NA NA NA NA 0.39315677 NA NA NA NA
"ANXA4" NA NA NA NA 0.09144032 NA NA NA NA NA NA NA
"PAFAH1B1" NA 0.19124198 NA NA NA NA NA NA NA NA NA NA
"ALYReF" 0.10407865 NA NA NA NA NA NA NA NA NA NA NA
"GNB2" NA 0.06905484 NA NA NA NA NA NA NA NA NA NA
"GeT4" NA NA 0.04231739 NA NA NA NA NA NA NA NA NA
"GRB14" NA NA NA NA NA 0.10662377 NA NA NA NA NA NA
"PROCR" NA NA NA NA 0.5958791 NA NA NA NA NA NA NA
"PDIA3" NA NA NA NA NA NA NA NA NA NA NA NA
"ABAT" NA NA NA NA 0.028016329 NA NA NA NA NA NA NA
"PFKL" 0.11173177 0.06414306 NA NA NA NA NA NA NA NA NA NA
"DUSP14" NA NA NA NA NA NA NA NA NA NA NA NA
"TRMT5" NA 0.07646525 NA NA NA NA NA NA NA NA NA NA
"BCL2L2" NA NA NA NA NA NA NA NA NA NA 0.09900582 NA
"SMC3" NA NA NA NA NA NA 0.025651932 NA NA NA NA NA
"PSMD2" NA NA NA NA NA NA 0.05681753 NA NA NA NA NA
"PYGL" NA 0.27350307 NA NA NA NA NA NA NA NA NA NA
"TMeM169" NA NA NA NA NA NA NA NA NA NA 0.20503592 NA
"F11" 0.19674051 NA NA NA NA NA NA NA NA NA NA NA
"TBX6" NA NA NA NA NA NA NA NA NA NA 0.101539254 NA
"PSMA4" NA NA NA NA NA 0.29121923 NA NA NA NA NA NA
"RPSA" NA NA NA NA 0.51356125 NA NA NA NA NA NA NA
"ACTN4" 0.24451458 0.10662377 0.14024973 NA NA NA NA NA NA 0.1271975 0.14815366 NA
"DCXR" 0.4190575 0.16412604 NA NA NA NA NA NA NA NA NA NA
"CCT6A" NA NA NA NA NA NA NA 0.18032062 NA NA NA NA
"MMP2" 0.11429453 NA NA NA NA NA NA NA NA NA NA 0.14551294
"PSMA6" 0.21618605 NA NA NA NA NA NA NA NA NA NA NA
"H2AZ2" NA NA NA NA NA 0.566751 NA NA NA NA NA NA
"VTA1" NA 0.1614486 NA NA NA NA NA NA NA NA NA NA
"CHRNA5" 0.19124198 NA NA NA NA NA NA NA NA NA NA NA
"ALDH9A1" 0.18304157 0.14551294 NA NA NA NA NA NA NA NA NA NA
"NNAT" NA NA NA NA NA NA NA NA NA NA NA 0.3273945
"ANXA8" NA NA NA NA NA 0.18304157 NA NA NA NA NA NA
"NUDT11" NA NA 0.39958727 NA NA NA NA NA NA NA NA NA
"COL11A2" 0.06659615 0.02093947 NA NA NA NA NA NA NA NA NA NA
"Q5e9F8" NA NA NA NA 0.8071741 NA NA NA NA NA NA NA
"C5" NA NA NA NA NA NA NA NA NA NA 0.64437175 NA
"PCMTD1" NA NA NA NA 0.04712856 NA NA NA NA NA NA NA
"RAB5A" NA NA NA NA NA 0.12460494 NA NA NA NA NA NA
"FeM1C" NA NA NA NA 0.08893013 NA NA NA NA NA NA NA
"VPS28" NA 0.1324004 NA NA NA NA NA NA NA NA NA NA
"SLC25A5" NA NA NA NA 0.17489755 NA NA NA NA NA NA NA
"CRYZL1" NA NA NA NA NA 0.08143401 NA NA NA NA NA NA
"eXOC3" NA NA NA NA NA NA NA NA NA NA 0.11686325 NA
"GNAT1" 0.39958727 NA NA NA NA NA NA NA NA NA NA NA
"RPS4" NA NA NA NA 0.4689263 NA NA NA NA NA NA NA
"TMeM134" NA NA NA NA 0.08642566 NA NA NA NA NA NA NA
"NPB" NA NA NA NA NA NA NA NA NA NA 0.11943793 NA
"RASA1" NA NA NA NA NA NA NA NA NA NA 0.08642566 NA
"CUeDC2" NA NA NA NA 0.06659615 NA NA NA NA NA NA NA
"RIBC1" NA NA NA NA 0.049542427 NA NA NA NA NA NA NA
"RNPC3" NA NA NA NA NA NA NA 0.07894671 NA NA NA NA
"TKTL2" NA NA NA NA NA 0.032761455 NA NA NA NA NA NA
"RPL18A" NA NA NA NA 0.20226443 NA NA NA NA NA NA NA
"UBe2D2" NA NA NA NA NA NA NA NA NA NA NA NA
"PRXL2B" 0.14815366 NA NA NA NA NA NA NA NA NA NA NA
"CIMAP1C" NA NA NA NA 0.17489755 NA NA NA NA NA NA NA
"IMP3" NA NA NA NA NA 0.17760599 NA NA NA NA NA NA
"B2M" 0.42232883 NA NA NA NA NA NA NA 0.39315677 0.21618605 0.1694994 NA
"RPS3A" NA NA 0.89234364 NA NA NA NA NA NA NA NA NA
"IDe" NA NA NA NA NA 0.08893013 NA NA NA NA NA NA
"GNPTG" NA NA NA NA NA NA NA NA NA NA 0.23594749 NA
"CFAP95" 0.061695576 NA NA NA 0.061695576 NA NA NA NA NA NA NA
"SNX11" NA NA NA 0.21618605 NA NA NA NA NA NA NA NA
"ACP3" NA NA NA NA 0.21618605 NA NA NA NA NA NA NA
"IGF1" NA 0.2133888 NA NA NA NA NA NA NA NA NA NA
"SCARB1" NA NA NA 0.083926916 NA NA NA NA NA NA NA NA
"GOT2" NA NA NA NA 0.12460494 NA NA NA NA NA NA NA
"TPPP" NA NA NA NA NA NA NA NA NA NA 0.15877736 NA
"ACAN" NA NA NA NA NA NA NA NA 0.018591404 NA NA NA
"SAMD5" NA NA NA NA NA NA NA NA NA NA 0.3001696 NA
"H3CL" NA NA NA NA 0.552387 NA NA NA NA NA NA NA
"RAB15" NA NA NA NA NA 0.5100801 NA NA NA NA NA NA
"FND11" NA NA NA NA 0.20503592 NA NA NA NA NA NA NA
"OXR1" NA NA NA NA NA NA NA NA NA NA 0.054386854 NA
"PPP2CA" NA NA NA NA 0.10917485 NA NA NA NA NA NA NA
"MDH2" NA NA NA NA 0.17760599 NA NA NA NA NA NA NA
"SORD" 0.18304157 NA 0.51356125 NA NA NA NA NA NA NA NA NA
"eeF1B" 0.16680968 NA NA NA NA NA NA NA NA NA NA NA
"BL3" NA NA 0.018591404 NA NA NA NA NA NA NA NA NA
"MIA3" NA NA NA NA NA NA NA NA 0.028016329 NA NA NA
"KLC3" 0.04231739 NA NA NA NA NA NA NA NA NA NA NA
"RPS9" NA NA NA NA 0.46217716 NA NA NA NA NA NA NA
"MRTO4" 0.28528666 NA NA NA NA NA NA NA NA NA NA NA
"BTBD19" NA NA NA NA 0.07398939 NA NA NA NA NA NA NA
"FAM124B" NA NA NA NA NA NA NA NA NA NA 0.10407865 NA
"TNS4" NA NA NA NA NA NA NA NA NA 0.04231739 NA NA
"CA141" 0.2133888 NA NA NA NA NA NA NA NA NA NA NA
"RPL11" NA NA NA NA 0.19949937 NA NA NA NA NA NA NA
"STK38" NA NA NA NA NA NA NA NA NA NA 0.061695576 NA
"BTBD16" NA NA 0.17489755 NA NA NA NA NA NA NA NA NA
"VWF" NA 0.03038609 NA NA NA NA NA NA NA NA 0.10407865 NA
"CTSB" NA NA 0.1324004 NA NA NA NA NA NA NA NA NA
"RABeP2" NA 0.09900582 NA NA NA NA NA NA NA NA NA NA
"QPCT" 0.21898961 NA NA NA NA NA NA NA NA NA NA NA
"H2AZ1" NA NA NA NA NA 0.566751 NA NA NA NA NA NA
"DNTTIP1" NA NA NA NA NA NA NA NA NA NA 0.17489755 NA
"AMDHD1" NA NA NA NA NA NA 0.11943793 NA NA NA NA NA
"PSMA3" 0.09395635 NA NA NA NA NA NA NA NA NA NA NA
"OCC1" NA NA NA NA 0.6069412 NA NA NA NA NA NA NA
"TIMM10B" NA NA NA NA NA NA NA NA NA NA NA NA
"ACO2" NA NA NA NA NA NA NA NA NA NA 0.03038609 NA
"SLC25A6" NA NA NA NA 0.17489755 NA NA NA NA NA NA NA
"GTF2B" NA NA NA NA NA NA NA NA NA NA NA NA
"RUNDC3A" NA NA NA NA NA 0.037528396 NA NA NA NA NA NA
"SLC25A4" NA NA NA NA 0.17489755 NA NA NA NA NA NA NA
"TGM2" NA NA NA NA NA NA NA NA NA NA 0.6218101 NA
"JAKMIP1" NA NA NA NA NA NA NA NA NA NA NA NA
"LYPLA1" NA NA NA NA 0.25892544 NA NA NA NA NA NA NA
"A5PK26" NA NA NA NA NA NA NA NA NA NA 0.15877736 NA
"PKP3" NA NA NA NA 0.16412604 NA NA NA NA NA NA NA
"eNTPD1" NA NA NA NA NA NA NA NA NA NA NA NA
"MAPK1" 0.09395635 NA NA NA NA NA NA NA NA NA NA NA
"NMI" 0.101539254 NA NA NA NA NA NA NA NA NA 0.101539254 NA
"eTV1" NA NA NA NA NA 0.13501084 NA NA NA NA NA NA
"K2CA" NA NA NA NA NA 0.5170504 NA NA NA NA NA NA
"FANCD2OS" NA NA NA NA NA NA NA NA NA NA 0.23026884 NA
"ST6GAL2" NA NA NA NA NA NA NA NA NA NA NA NA
"CALM" NA NA NA NA NA NA NA NA NA NA NA NA
"TRPC4" NA NA NA NA NA NA NA NA NA NA NA NA
"ARPC1A" NA NA NA NA NA NA NA NA NA NA NA NA
"KRT14" NA NA NA NA NA NA NA NA NA NA NA NA
"H1-1" NA NA NA NA NA NA NA NA NA NA NA NA
"CALD1" NA NA NA NA NA NA NA NA NA NA NA NA
"LASP1" NA NA NA NA NA NA NA NA NA NA NA NA
"RPLP2" NA NA NA NA NA NA NA NA NA NA NA NA
"IBPS" NA NA NA NA NA NA NA NA NA NA NA NA
"ARPC3" NA NA NA NA NA NA NA NA NA NA NA NA
"FRZB" NA NA NA NA NA NA NA NA NA NA NA NA
"YBX1" NA NA NA NA NA NA NA NA NA NA NA NA
"MCTS1" NA NA NA NA NA NA NA NA NA NA NA NA
"RGS10" NA NA NA NA NA NA NA NA NA NA NA NA
"TAGLN" NA NA NA NA NA NA NA NA NA NA NA NA
"PIN1" NA NA NA NA NA NA NA NA NA NA NA NA
"eIF2S2" NA NA NA NA NA NA NA NA NA NA NA NA
"LTA4H" NA NA NA NA NA NA NA NA NA NA NA NA
"WARS1" NA NA NA NA NA NA NA NA NA NA NA NA
"DNAJB1" NA NA NA NA NA NA NA NA NA NA NA NA
"STIP1" NA NA NA NA NA NA NA NA NA NA NA NA
